"","ensembl_gene_id","mgi_symbol","log2FC.MutDMSO.WtDMSO","log2FC.MutGSKJ4.MutDMSO"
"1","ENSMUSG00000000567","Sox9",0.750804037546634,-1.00311575543996
"2","ENSMUSG00000001750","Tcirg1",-0.462401559868367,0.319685742656383
"3","ENSMUSG00000005583","Mef2c",0.863326588522436,-0.678522097542638
"4","ENSMUSG00000006445","Epha2",0.810149652513917,-0.361930371816351
"5","ENSMUSG00000006932","Ctnnb1",0.192074307992875,-0.203478082179646
"6","ENSMUSG00000007041","Clic1",-0.177010415011343,0.1820377146612
"7","ENSMUSG00000008136","Fhl2",-0.506498691218475,0.271787948052698
"8","ENSMUSG00000019359","Gdpd2",-0.679789562264398,0.460992112338745
"9","ENSMUSG00000021466","Ptch1",0.367917468375609,-0.405843033855202
"10","ENSMUSG00000021469","Msx2",0.57580119967908,-0.437457496023916
"11","ENSMUSG00000023951","Vegfa",0.578112858068534,-0.578121944227176
"12","ENSMUSG00000024232","Bambi",0.956696046840804,-0.665539511239217
"13","ENSMUSG00000024401","Tnf",-0.719835264992572,1.03631722554713
"14","ENSMUSG00000026725","Tnn",0.612134751205533,-0.631055781797999
"15","ENSMUSG00000027230","Creb3l1",0.810410245551745,-0.760658594077365
"16","ENSMUSG00000027523","Gnas",0.160130044627835,-0.196851217296664
"17","ENSMUSG00000027833","Shox2",0.489375068148949,-0.335498160462261
"18","ENSMUSG00000028161","Ppp3ca",0.156890232312961,-0.163158393287152
"19","ENSMUSG00000029287","Tgfbr3",-0.186911725492762,-0.276073325903627
"20","ENSMUSG00000029755","Dlx5",0.365896332984013,-0.415635291336984
"21","ENSMUSG00000031548","Sfrp1",-0.928435760426504,0.259668313872535
"22","ENSMUSG00000032402","Smad3",0.330077235907153,-0.446642660938062
"23","ENSMUSG00000032492","Pth1r",0.820345374127256,-0.608163247514821
"24","ENSMUSG00000032726","Bmp8a",0.526890917952438,-0.332334075687784
"25","ENSMUSG00000035455","Fignl1",-0.406703402177495,0.478915783791717
"26","ENSMUSG00000035799","Twist1",0.405009128873768,-0.345766320772886
"27","ENSMUSG00000037225","Fgf2",-0.533238997827951,0.430390585077957
"28","ENSMUSG00000037573","Tob1",0.501423914941896,-0.491572379425287
"29","ENSMUSG00000038331","Satb2",0.732020954746159,-0.914442141498176
"30","ENSMUSG00000038677","Scube3",0.824297970454148,-1.03528493440978
"31","ENSMUSG00000039153","Runx2",0.480740582221103,-0.495501394670538
"32","ENSMUSG00000039286","Fndc3b",0.200667486500089,-0.225964233389956
"33","ENSMUSG00000040289","Hey1",0.671157031081139,-0.691654337989066
"34","ENSMUSG00000040711","Sh3pxd2b",0.178745800314483,-0.144136029859593
"35","ENSMUSG00000050199","Lgr4",0.388644732381187,-0.445917707075278
"36","ENSMUSG00000053110","Yap1",0.160267892367476,-0.260255992272723
"37","ENSMUSG00000054196","Cthrc1",0.523871156503261,-0.73210269917374
"38","ENSMUSG00000054675","Tmem119",0.528247840157243,-0.575455309072734
"39","ENSMUSG00000060284","Sp7",0.63239214905672,-0.587989695428959
